#Timing,Name,HeadYaw,HeadPitch,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RWristYaw,LWristYaw
00:10:300,Pose172,0.496,0.261,0.763,-0.573,0.253,0.215,2.086,0.050,-2.083,-0.042,-0.542,-0.390,-1.280,1.975,0.146,0.321,-0.542,0.552,-1.536,1.463,0.728,-0.087,0.758,-1.820 
00:10:350,Pose173,0.497,0.256,0.761,-0.566,0.229,0.230,2.086,0.057,-2.082,-0.041,-0.535,-0.370,-1.242,1.995,0.087,0.332,-0.535,0.552,-1.536,1.441,0.735,-0.076,0.758,-1.820 
00:10:400,Pose174,0.499,0.249,0.762,-0.559,0.209,0.259,2.086,0.066,-2.081,-0.041,-0.529,-0.348,-1.202,2.015,0.025,0.342,-0.529,0.552,-1.536,1.414,0.743,-0.065,0.758,-1.820 
00:10:450,Pose175,0.501,0.242,0.764,-0.553,0.194,0.298,2.086,0.079,-2.080,-0.041,-0.523,-0.325,-1.160,2.034,-0.038,0.353,-0.523,0.552,-1.536,1.384,0.751,-0.055,0.759,-1.820 
00:10:500,Pose176,0.502,0.235,0.768,-0.546,0.181,0.344,2.086,0.094,-2.079,-0.041,-0.517,-0.301,-1.116,2.052,-0.102,0.362,-0.517,0.552,-1.536,1.351,0.758,-0.044,0.759,-1.821 
00:10:550,Pose177,0.503,0.227,0.772,-0.539,0.172,0.395,2.086,0.111,-2.078,-0.041,-0.512,-0.277,-1.072,2.069,-0.166,0.371,-0.512,0.552,-1.536,1.319,0.766,-0.034,0.759,-1.821 
00:10:600,Pose178,0.504,0.217,0.780,-0.527,0.162,0.473,2.086,0.141,-2.076,-0.041,-0.505,-0.241,-1.006,2.090,-0.260,0.382,-0.505,0.552,-1.536,1.275,0.775,-0.021,0.760,-1.822 
00:10:650,Pose179,0.504,0.211,0.787,-0.519,0.158,0.522,2.086,0.164,-2.076,-0.042,-0.502,-0.216,-0.962,2.100,-0.320,0.388,-0.502,0.552,-1.536,1.250,0.780,-0.014,0.760,-1.823 
00:10:700,Pose180,0.505,0.207,0.794,-0.509,0.155,0.566,2.086,0.190,-2.075,-0.043,-0.500,-0.191,-0.919,2.108,-0.377,0.392,-0.500,0.552,-1.536,1.232,0.783,-0.009,0.760,-1.823 
00:10:750,Pose181,0.505,0.204,0.802,-0.498,0.154,0.602,2.086,0.213,-2.075,-0.043,-0.499,-0.167,-0.878,2.112,-0.430,0.394,-0.499,0.552,-1.536,1.222,0.785,-0.007,0.761,-1.823 
00:10:800,Pose182,0.505,0.204,0.810,-0.485,0.153,0.627,2.086,0.237,-2.075,-0.044,-0.500,-0.143,-0.838,2.112,-0.479,0.391,-0.500,0.555,-1.536,1.222,0.784,-0.007,0.761,-1.824 
00:10:850,Pose183,0.505,0.204,0.820,-0.470,0.155,0.643,2.086,0.260,-2.076,-0.044,-0.510,-0.117,-0.802,2.112,-0.517,0.366,-0.510,0.574,-1.535,1.227,0.772,-0.014,0.761,-1.824 
00:10:900,Pose184,0.504,0.205,0.832,-0.452,0.162,0.652,2.085,0.285,-2.077,-0.044,-0.527,-0.090,-0.769,2.112,-0.548,0.325,-0.527,0.605,-1.535,1.237,0.752,-0.026,0.761,-1.823 
00:10:950,Pose185,0.503,0.206,0.846,-0.430,0.175,0.657,2.083,0.310,-2.079,-0.044,-0.550,-0.062,-0.735,2.113,-0.574,0.273,-0.550,0.643,-1.535,1.248,0.729,-0.040,0.761,-1.823 
00:11:000,Pose186,0.501,0.208,0.861,-0.409,0.194,0.659,2.081,0.334,-2.080,-0.045,-0.577,-0.035,-0.700,2.113,-0.599,0.218,-0.577,0.682,-1.534,1.259,0.705,-0.054,0.761,-1.822 
00:11:050,Pose187,0.498,0.212,0.876,-0.389,0.219,0.658,2.078,0.357,-2.082,-0.045,-0.604,-0.009,-0.662,2.113,-0.627,0.168,-0.604,0.713,-1.534,1.268,0.685,-0.066,0.761,-1.822 
00:11:100,Pose188,0.491,0.221,0.902,-0.355,0.268,0.662,2.075,0.390,-2.084,-0.046,-0.643,0.026,-0.594,2.113,-0.680,0.117,-0.643,0.735,-1.534,1.275,0.672,-0.074,0.761,-1.820 
00:11:150,Pose189,0.481,0.230,0.921,-0.330,0.311,0.670,2.073,0.410,-2.084,-0.046,-0.669,0.048,-0.534,2.112,-0.727,0.099,-0.669,0.731,-1.534,1.269,0.676,-0.067,0.761,-1.820 
00:11:200,Pose190,0.464,0.241,0.944,-0.303,0.364,0.683,2.072,0.429,-2.084,-0.046,-0.700,0.071,-0.461,2.110,-0.783,0.086,-0.700,0.721,-1.534,1.255,0.688,-0.049,0.761,-1.819 
00:11:250,Pose191,0.442,0.255,0.971,-0.272,0.427,0.702,2.071,0.449,-2.084,-0.047,-0.734,0.095,-0.381,2.108,-0.845,0.076,-0.734,0.705,-1.534,1.234,0.704,-0.023,0.761,-1.818 
00:11:300,Pose192,0.417,0.269,1.000,-0.238,0.498,0.725,2.070,0.467,-2.084,-0.048,-0.767,0.117,-0.299,2.105,-0.907,0.069,-0.767,0.687,-1.534,1.208,0.724,0.007,0.761,-1.818 
00:11:350,Pose193,0.390,0.283,1.030,-0.203,0.572,0.751,2.070,0.485,-2.084,-0.049,-0.799,0.137,-0.222,2.103,-0.967,0.065,-0.799,0.667,-1.534,1.180,0.743,0.039,0.761,-1.817 
00:11:400,Pose194,0.365,0.297,1.058,-0.173,0.645,0.778,2.069,0.501,-2.084,-0.051,-0.826,0.154,-0.155,2.100,-1.021,0.063,-0.826,0.648,-1.534,1.151,0.762,0.067,0.761,-1.816 
00:11:450,Pose195,0.342,0.308,1.084,-0.146,0.712,0.803,2.068,0.516,-2.083,-0.053,-0.846,0.166,-0.104,2.098,-1.064,0.061,-0.846,0.630,-1.534,1.125,0.776,0.090,0.761,-1.814 
00:11:500,Pose196,0.324,0.317,1.105,-0.124,0.769,0.823,2.066,0.529,-2.082,-0.057,-0.857,0.172,-0.076,2.097,-1.093,0.060,-0.857,0.616,-1.534,1.104,0.784,0.102,0.761,-1.812 
00:11:550,Pose197,0.312,0.320,1.120,-0.109,0.810,0.836,2.063,0.539,-2.080,-0.061,-0.859,0.173,-0.072,2.097,-1.107,0.059,-0.859,0.606,-1.534,1.088,0.785,0.104,0.761,-1.809 
00:11:600,Pose198,0.296,0.320,1.134,-0.098,0.854,0.847,2.056,0.551,-2.062,-0.071,-0.857,0.172,-0.077,2.097,-1.122,0.058,-0.857,0.594,-1.531,1.066,0.786,0.102,0.761,-1.797 
00:11:650,Pose199,0.285,0.320,1.140,-0.094,0.875,0.850,2.048,0.559,-2.034,-0.079,-0.855,0.170,-0.082,2.097,-1.131,0.057,-0.855,0.586,-1.528,1.053,0.786,0.099,0.761,-1.783 
00:11:700,Pose200,0.276,0.320,1.145,-0.091,0.894,0.853,2.038,0.565,-1.991,-0.087,-0.852,0.168,-0.090,2.098,-1.140,0.056,-0.852,0.578,-1.523,1.039,0.786,0.095,0.761,-1.763 
00:11:750,Pose201,0.266,0.320,1.149,-0.090,0.910,0.855,2.026,0.571,-1.935,-0.097,-0.848,0.165,-0.099,2.098,-1.147,0.056,-0.848,0.571,-1.517,1.026,0.786,0.089,0.762,-1.739 
00:11:800,Pose202,0.257,0.320,1.152,-0.089,0.924,0.856,2.011,0.577,-1.866,-0.108,-0.844,0.162,-0.110,2.099,-1.154,0.055,-0.844,0.564,-1.510,1.013,0.786,0.083,0.762,-1.709 
00:11:850,Pose203,0.249,0.320,1.155,-0.089,0.936,0.856,1.995,0.583,-1.786,-0.119,-0.839,0.159,-0.123,2.099,-1.159,0.055,-0.839,0.557,-1.502,1.000,0.786,0.076,0.762,-1.676 
00:11:900,Pose204,0.240,0.320,1.157,-0.089,0.947,0.857,1.977,0.588,-1.697,-0.131,-0.834,0.154,-0.137,2.100,-1.164,0.055,-0.834,0.551,-1.494,0.988,0.786,0.069,0.763,-1.639 
00:11:950,Pose205,0.232,0.320,1.158,-0.089,0.957,0.857,1.957,0.593,-1.599,-0.143,-0.827,0.150,-0.152,2.101,-1.169,0.055,-0.827,0.545,-1.484,0.976,0.786,0.060,0.763,-1.599 
00:12:000,Pose206,0.225,0.320,1.160,-0.090,0.965,0.858,1.936,0.598,-1.495,-0.156,-0.821,0.145,-0.168,2.101,-1.173,0.055,-0.821,0.539,-1.473,0.964,0.786,0.051,0.763,-1.556 
00:12:050,Pose207,0.217,0.320,1.160,-0.091,0.972,0.858,1.914,0.602,-1.387,-0.169,-0.814,0.139,-0.185,2.102,-1.176,0.055,-0.814,0.532,-1.462,0.952,0.786,0.041,0.764,-1.512 
00:12:100,Pose208,0.209,0.320,1.161,-0.092,0.979,0.858,1.891,0.606,-1.275,-0.183,-0.806,0.134,-0.202,2.103,-1.179,0.054,-0.806,0.526,-1.450,0.940,0.786,0.031,0.764,-1.468 
00:12:150,Pose209,0.199,0.330,1.161,-0.094,0.986,0.858,1.855,0.613,-1.107,-0.203,-0.794,0.125,-0.230,2.104,-1.182,0.053,-0.794,0.518,-1.431,0.922,0.786,0.015,0.765,-1.400 
00:12:200,Pose210,0.191,0.337,1.161,-0.096,0.991,0.859,1.830,0.619,-0.996,-0.217,-0.786,0.118,-0.249,2.104,-1.184,0.052,-0.786,0.512,-1.417,0.911,0.786,0.004,0.766,-1.356 
00:12:250,Pose211,0.184,0.343,1.162,-0.098,0.994,0.859,1.805,0.623,-0.888,-0.231,-0.777,0.112,-0.268,2.105,-1.186,0.051,-0.777,0.505,-1.403,0.899,0.786,-0.008,0.766,-1.313 
00:12:300,Pose212,0.177,0.350,1.162,-0.101,0.997,0.859,1.781,0.628,-0.785,-0.244,-0.768,0.105,-0.287,2.106,-1.186,0.051,-0.768,0.499,-1.389,0.887,0.786,-0.019,0.767,-1.272 
00:12:350,Pose213,0.170,0.357,1.163,-0.104,0.999,0.859,1.757,0.632,-0.688,-0.257,-0.759,0.098,-0.306,2.106,-1.186,0.051,-0.759,0.493,-1.375,0.875,0.786,-0.031,0.767,-1.233 
00:12:400,Pose214,0.163,0.363,1.164,-0.107,1.001,0.860,1.733,0.635,-0.600,-0.270,-0.750,0.091,-0.324,2.107,-1.186,0.051,-0.750,0.486,-1.360,0.863,0.786,-0.043,0.767,-1.198 
00:12:450,Pose215,0.156,0.370,1.165,-0.111,1.002,0.860,1.711,0.638,-0.521,-0.283,-0.741,0.084,-0.342,2.107,-1.186,0.051,-0.741,0.480,-1.345,0.851,0.786,-0.055,0.768,-1.167 
00:12:500,Pose216,0.148,0.376,1.167,-0.116,1.003,0.861,1.689,0.640,-0.454,-0.295,-0.732,0.076,-0.360,2.107,-1.186,0.051,-0.732,0.473,-1.330,0.839,0.786,-0.066,0.768,-1.141 
00:12:550,Pose217,0.141,0.377,1.169,-0.121,1.004,0.862,1.669,0.643,-0.401,-0.307,-0.722,0.069,-0.377,2.108,-1.186,0.051,-0.722,0.466,-1.315,0.826,0.786,-0.077,0.768,-1.120 
00:12:600,Pose218,0.133,0.378,1.172,-0.127,1.004,0.863,1.650,0.644,-0.362,-0.318,-0.713,0.062,-0.393,2.108,-1.186,0.051,-0.713,0.458,-1.301,0.813,0.786,-0.089,0.768,-1.105 
00:12:650,Pose219,0.121,0.380,1.178,-0.137,1.005,0.866,1.625,0.646,-0.337,-0.334,-0.699,0.050,-0.415,2.106,-1.186,0.048,-0.699,0.446,-1.277,0.794,0.782,-0.098,0.769,-1.094 
00:12:700,Pose220,0.113,0.380,1.183,-0.148,1.005,0.871,1.610,0.646,-0.347,-0.343,-0.687,0.041,-0.431,2.102,-1.186,0.046,-0.687,0.437,-1.258,0.780,0.770,-0.106,0.769,-1.091 
00:12:750,Pose221,0.105,0.381,1.191,-0.163,1.005,0.878,1.598,0.647,-0.378,-0.351,-0.675,0.031,-0.446,2.095,-1.186,0.042,-0.675,0.428,-1.238,0.765,0.752,-0.118,0.769,-1.089 
00:12:800,Pose222,0.097,0.381,1.199,-0.181,1.005,0.889,1.587,0.646,-0.428,-0.359,-0.661,0.020,-0.462,2.087,-1.186,0.038,-0.661,0.418,-1.215,0.750,0.729,-0.134,0.769,-1.088 
00:12:850,Pose223,0.089,0.381,1.210,-0.204,1.005,0.903,1.577,0.646,-0.495,-0.365,-0.646,0.008,-0.478,2.077,-1.186,0.034,-0.646,0.407,-1.191,0.735,0.703,-0.153,0.769,-1.088 
00:12:900,Pose224,0.081,0.382,1.222,-0.230,1.005,0.919,1.568,0.645,-0.575,-0.372,-0.631,-0.004,-0.494,2.066,-1.186,0.029,-0.631,0.397,-1.165,0.721,0.674,-0.172,0.769,-1.088 
00:12:950,Pose225,0.074,0.382,1.236,-0.260,1.004,0.937,1.559,0.643,-0.665,-0.378,-0.615,-0.017,-0.511,2.055,-1.186,0.024,-0.615,0.386,-1.139,0.706,0.645,-0.193,0.769,-1.088 
00:13:000,Pose226,0.067,0.382,1.252,-0.295,1.002,0.957,1.551,0.640,-0.761,-0.384,-0.599,-0.031,-0.527,2.045,-1.186,0.019,-0.599,0.375,-1.113,0.692,0.616,-0.213,0.769,-1.088 
00:13:050,Pose227,0.059,0.382,1.267,-0.331,1.000,0.978,1.542,0.636,-0.860,-0.390,-0.583,-0.044,-0.544,2.035,-1.186,0.015,-0.583,0.363,-1.086,0.678,0.588,-0.232,0.769,-1.088 
00:13:100,Pose228,0.049,0.382,1.290,-0.384,0.997,1.009,1.528,0.630,-1.004,-0.401,-0.559,-0.065,-0.568,2.022,-1.186,0.008,-0.559,0.346,-1.047,0.658,0.553,-0.256,0.769,-1.088 
00:13:150,Pose229,0.043,0.382,1.305,-0.418,0.994,1.029,1.517,0.624,-1.093,-0.408,-0.542,-0.079,-0.586,2.016,-1.186,0.004,-0.542,0.334,-1.021,0.646,0.537,-0.268,0.769,-1.088 
00:13:200,Pose230,0.037,0.382,1.321,-0.454,0.990,1.053,1.507,0.618,-1.184,-0.416,-0.524,-0.095,-0.606,2.011,-1.186,-0.000,-0.524,0.321,-0.991,0.634,0.528,-0.274,0.769,-1.088 
00:13:250,Pose231,0.031,0.381,1.339,-0.492,0.984,1.082,1.490,0.610,-1.284,-0.427,-0.505,-0.112,-0.628,2.007,-1.186,-0.005,-0.505,0.306,-0.960,0.622,0.524,-0.277,0.769,-1.088 
00:13:300,Pose232,0.027,0.381,1.357,-0.533,0.975,1.114,1.477,0.602,-1.385,-0.437,-0.485,-0.130,-0.650,2.005,-1.186,-0.009,-0.485,0.291,-0.928,0.612,0.521,-0.279,0.769,-1.088 
00:13:350,Pose233,0.022,0.381,1.375,-0.572,0.965,1.146,1.466,0.593,-1.481,-0.446,-0.465,-0.148,-0.669,2.003,-1.186,-0.012,-0.465,0.277,-0.898,0.604,0.516,-0.283,0.769,-1.088 
00:13:400,Pose234,0.019,0.380,1.391,-0.607,0.954,1.173,1.458,0.584,-1.562,-0.455,-0.448,-0.166,-0.683,2.002,-1.186,-0.014,-0.448,0.264,-0.871,0.599,0.504,-0.291,0.769,-1.088 
00:13:450,Pose235,0.017,0.380,1.402,-0.632,0.942,1.193,1.451,0.574,-1.618,-0.464,-0.433,-0.183,-0.689,2.002,-1.186,-0.015,-0.433,0.253,-0.851,0.597,0.481,-0.306,0.769,-1.088 
00:13:500,Pose236,0.015,0.381,1.408,-0.647,0.929,1.202,1.446,0.566,-1.647,-0.474,-0.419,-0.200,-0.690,2.003,-1.186,-0.015,-0.419,0.244,-0.835,0.606,0.447,-0.312,0.769,-1.088 
00:13:550,Pose237,0.014,0.381,1.411,-0.659,0.909,1.208,1.439,0.553,-1.663,-0.490,-0.397,-0.228,-0.692,2.008,-1.186,-0.012,-0.397,0.230,-0.812,0.651,0.378,-0.322,0.769,-1.088 
00:13:600,Pose238,0.013,0.382,1.410,-0.663,0.894,1.210,1.435,0.545,-1.664,-0.501,-0.382,-0.248,-0.693,2.014,-1.186,-0.008,-0.382,0.220,-0.797,0.699,0.323,-0.329,0.770,-1.088 
00:13:650,Pose239,0.013,0.383,1.408,-0.666,0.878,1.210,1.432,0.538,-1.660,-0.513,-0.367,-0.268,-0.693,2.021,-1.186,-0.004,-0.367,0.211,-0.782,0.759,0.261,-0.336,0.771,-1.088 
00:13:700,Pose240,0.012,0.384,1.405,-0.668,0.861,1.210,1.428,0.530,-1.653,-0.526,-0.352,-0.289,-0.694,2.029,-1.186,0.001,-0.352,0.202,-0.768,0.827,0.195,-0.343,0.772,-1.088 
00:13:750,Pose241,0.012,0.385,1.401,-0.669,0.843,1.210,1.425,0.522,-1.643,-0.539,-0.337,-0.310,-0.695,2.038,-1.186,0.006,-0.337,0.194,-0.754,0.903,0.124,-0.350,0.773,-1.089 
00:13:800,Pose242,0.012,0.386,1.396,-0.670,0.826,1.209,1.421,0.515,-1.632,-0.552,-0.322,-0.331,-0.695,2.047,-1.186,0.012,-0.322,0.185,-0.741,0.984,0.050,-0.357,0.775,-1.089 
00:13:850,Pose243,0.012,0.387,1.391,-0.671,0.809,1.208,1.418,0.507,-1.620,-0.565,-0.308,-0.351,-0.695,2.057,-1.186,0.017,-0.308,0.177,-0.729,1.068,-0.025,-0.364,0.777,-1.089 
00:13:900,Pose244,0.012,0.389,1.386,-0.671,0.791,1.207,1.416,0.500,-1.606,-0.578,-0.294,-0.370,-0.696,2.067,-1.186,0.023,-0.294,0.169,-0.717,1.152,-0.100,-0.371,0.779,-1.090 
00:13:950,Pose245,0.012,0.390,1.381,-0.672,0.775,1.206,1.413,0.492,-1.591,-0.590,-0.282,-0.388,-0.696,2.076,-1.186,0.029,-0.282,0.161,-0.705,1.235,-0.174,-0.377,0.781,-1.090 
00:14:000,Pose246,0.012,0.391,1.376,-0.672,0.760,1.204,1.411,0.484,-1.576,-0.602,-0.271,-0.404,-0.696,2.085,-1.186,0.034,-0.271,0.154,-0.695,1.314,-0.246,-0.382,0.783,-1.091 
00:14:050,Pose247,0.011,0.392,1.372,-0.672,0.745,1.202,1.408,0.476,-1.560,-0.612,-0.261,-0.419,-0.696,2.093,-1.186,0.039,-0.261,0.146,-0.685,1.387,-0.315,-0.387,0.786,-1.091 
00:14:100,Pose248,0.010,0.393,1.366,-0.671,0.727,1.198,1.406,0.465,-1.536,-0.626,-0.249,-0.436,-0.696,2.103,-1.186,0.045,-0.249,0.136,-0.671,1.480,-0.409,-0.393,0.789,-1.091 
00:14:150,Pose249,0.009,0.394,1.362,-0.670,0.717,1.195,1.404,0.457,-1.521,-0.633,-0.244,-0.444,-0.696,2.108,-1.186,0.047,-0.244,0.130,-0.663,1.528,-0.464,-0.395,0.792,-1.092 
00:14:200,Pose250,0.008,0.394,1.360,-0.669,0.710,1.192,1.403,0.448,-1.506,-0.638,-0.240,-0.449,-0.696,2.111,-1.186,0.049,-0.240,0.124,-0.656,1.562,-0.512,-0.397,0.794,-1.092 
00:14:250,Pose251,0.006,0.394,1.358,-0.668,0.705,1.188,1.403,0.440,-1.492,-0.642,-0.239,-0.451,-0.696,2.113,-1.186,0.050,-0.239,0.118,-0.649,1.580,-0.551,-0.398,0.796,-1.092 
00:14:300,Pose252,0.004,0.393,1.357,-0.665,0.703,1.183,1.403,0.431,-1.478,-0.643,-0.239,-0.449,-0.696,2.112,-1.186,0.050,-0.239,0.113,-0.643,1.589,-0.584,-0.396,0.799,-1.092 
00:14:350,Pose253,0.002,0.391,1.358,-0.661,0.704,1.173,1.404,0.422,-1.464,-0.642,-0.240,-0.443,-0.696,2.110,-1.186,0.049,-0.240,0.107,-0.638,1.598,-0.615,-0.391,0.801,-1.089 
00:14:400,Pose254,-0.001,0.386,1.360,-0.654,0.707,1.159,1.406,0.413,-1.449,-0.637,-0.240,-0.433,-0.696,2.107,-1.186,0.048,-0.240,0.102,-0.634,1.605,-0.644,-0.383,0.804,-1.084 
00:14:450,Pose255,-0.005,0.380,1.364,-0.645,0.714,1.139,1.409,0.402,-1.434,-0.630,-0.241,-0.420,-0.696,2.102,-1.183,0.047,-0.241,0.097,-0.631,1.612,-0.672,-0.372,0.806,-1.077 
00:14:500,Pose256,-0.008,0.373,1.370,-0.634,0.723,1.113,1.411,0.394,-1.419,-0.620,-0.241,-0.404,-0.696,2.096,-1.180,0.045,-0.241,0.091,-0.629,1.619,-0.698,-0.358,0.809,-1.066 
00:14:550,Pose257,-0.014,0.360,1.380,-0.613,0.740,1.066,1.415,0.382,-1.395,-0.602,-0.242,-0.375,-0.694,2.085,-1.173,0.042,-0.242,0.084,-0.626,1.627,-0.735,-0.334,0.814,-1.046 
00:14:600,Pose258,-0.018,0.350,1.389,-0.597,0.754,1.030,1.419,0.374,-1.379,-0.587,-0.243,-0.353,-0.693,2.075,-1.168,0.040,-0.243,0.079,-0.625,1.632,-0.757,-0.310,0.817,-1.030 
00:14:650,Pose259,-0.022,0.339,1.398,-0.580,0.770,0.990,1.424,0.365,-1.363,-0.570,-0.244,-0.329,-0.692,2.064,-1.161,0.038,-0.244,0.074,-0.624,1.636,-0.777,-0.277,0.820,-1.011 
